States,x,y
Adana,-20,-119
Adiyaman,135,-91
Afyon,-317,-14
Agri,447,73
Amasya,-1,138
Ankara,-199,88
Antalya,-293,-142
Artvin,360,185
Balikesir,-492,70
Bilecik,-337,98
Bingol,302,14
Bitlis,391,-26
Bolu,-241,132
Burdur,-348,-105
Bursa,-412,101
Canakkale,-547,103
Cankiri,-120,134
Corum,-56,123
Denizli,-399,-82
Diyarbakir,267,-52
Edirne,-547,168
Elazig,210,-23
Erzincan,210,65
Erzurum,340,102
Eskisehir,-285,60
Gaziantep,86,-146
Giresun,160,142
Hakkari,506,-90
Hatay,29,-207
Isparta,-301,-71
Mersin,-112,-179
Istanbul,-410,191
Izmir,-523,-31
Kars,435,132
Kastamonu,-125,202
Kayseri,4,-21
Kirklareli,-487,242
Kirsehir,-86,26
Kocaeli,-351,156
Kktc,-147,-280
Konya,-199,-72
Kutahya,-380,38
Malatya,124,-27
Manisa,-417,4
Kahramanmaras,47,-71
Mardin,299,-121
Mugla,-474,-119
Mus,370,19
Nevsehir,-62,-18
Nigde,-56,-74
Ordu,103,151
Rize,300,163
Sakarya,-313,135
Samsun,12,175
Siirt,397,-65
Sinop,-36,208
Sivas,89,48
Tekirdag,-501,186
Tokat,53,109
Trabzon,235,153
Tunceli,220,23
Sanliurfa,187,-137
Usak,-385,-15
Van,495,-8
Yozgat,-31,61
Zonguldak,-229,192
Aksaray,-112,-44
Bayburt,261,106
Karaman,-148,-141
Kirikkale,-120,69
Batman,350,-79
Sirnak,409,-108
Bartin,-177,214
Ardahan,423,185
Igdir,496,100
Yalova,-400,145
Karabuk,-183,177
Kilis,75,-167
Osmaniye,29,-133
Duzce,-261,156
